?targetProperty	?superDomain	?equivalentDomain	?domainLabel	?targetPropertyLabel	?rangeLabel	?equivalentRange	?superRange	?superRangeUnionMember	?otherProperty	?otherDomainLabel	?otherPropertyLabel	?otherRangeLabel
<http://www.w3.org/ns/prov#generated>	<http://purl.obolibrary.org/obo/BFO_0000003>	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://purl.obolibrary.org/obo/RO_0000057>	"occurrent"@en	"has participant"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	<http://purl.obolibrary.org/obo/BFO_0000003>	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000031>	<http://purl.obolibrary.org/obo/RO_0000057>	"occurrent"@en	"has participant"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid103	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid103	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid107	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid107	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid108	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	_:Be2c26869X2D100aX2D44a1X2D8ecfX2Dd2e66bb87d77genid108	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	<http://purl.obolibrary.org/obo/BFO_0000003>	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000020>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
<http://www.w3.org/ns/prov#generated>	<http://purl.obolibrary.org/obo/BFO_0000003>	<http://purl.obolibrary.org/obo/BFO_0000015>	"Activity"	"generated"	"Entity"		_:Be505ca9fX2Dacb2X2D4492X2DaabbX2D29a76c397977genid31	<http://purl.obolibrary.org/obo/BFO_0000031>	<http://www.ontologyrepository.com/CommonCoreOntologies/affects>	"process"@en	"affects"@en	"continuant"@en
