targetTerm,label
http://www.w3.org/ns/prov#asInBundle,asInBundle
http://www.w3.org/ns/prov#hadInfluence,hadInfluence
http://www.w3.org/ns/prov#has_anchor,has_anchor
http://www.w3.org/ns/prov#has_provenance,has_provenance
http://www.w3.org/ns/prov#has_query_service,hasProvenanceService
http://www.w3.org/ns/prov#influencer,influencer
http://www.w3.org/ns/prov#pingback,provenance pingback
http://www.w3.org/ns/prov#qualifiedCommunicationOf,qualifiedCommunicationOf
http://www.w3.org/ns/prov#qualifiedGeneration,qualifiedGeneration
http://www.w3.org/ns/prov#qualifiedGenerationOf,qualifiedGenerationOf
http://www.w3.org/ns/prov#qualifiedInfluence,qualifiedInfluence
http://www.w3.org/ns/prov#qualifiedInfluenceOf,qualifiedInfluenceOf
http://www.w3.org/ns/prov#qualifiedInvalidation,qualifiedInvalidation
http://www.w3.org/ns/prov#qualifiedInvalidationOf,qualifiedInvalidationOf
http://www.w3.org/ns/prov#qualifiedQuotation,qualifiedQuotation
http://www.w3.org/ns/prov#qualifiedQuotationOf,qualifiedQuotationOf
http://www.w3.org/ns/prov#wasActivityOfInfluence,wasActivityOfInfluence
http://www.w3.org/ns/prov#wasInfluencedBy,wasInfluencedBy
http://www.w3.org/ns/prov#wasPlanOf,wasPlanOf
