targetProperty,superDomainLabel,domainLabel,targetPropertyLabel,rangeLabel,superRangeLabel,otherProperty,otherDomainLabel,otherPropertyLabel,otherRangeLabel
http://www.w3.org/ns/prov#actedOnBehalfOf,independent continuant,Agent,actedOnBehalfOf,Agent,independent continuant,http://www.ontologyrepository.com/CommonCoreOntologies/is_predecessor_of,independent continuant,is predecessor of,independent continuant
http://www.w3.org/ns/prov#actedOnBehalfOf,independent continuant,Agent,actedOnBehalfOf,Agent,independent continuant,http://www.ontologyrepository.com/CommonCoreOntologies/is_successor_of,independent continuant,is successor of,independent continuant
http://www.w3.org/ns/prov#activity,occurrent,ActivityInfluence,activity,Activity,occurrent,http://www.ontologyrepository.com/CommonCoreOntologies/caused_by,occurrent,caused by,occurrent
http://www.w3.org/ns/prov#activity,occurrent,ActivityInfluence,activity,Activity,occurrent,http://www.ontologyrepository.com/CommonCoreOntologies/is_cause_of,occurrent,is cause of,occurrent
http://www.w3.org/ns/prov#activity,process,ActivityInfluence,activity,Activity,process,http://www.ontologyrepository.com/CommonCoreOntologies/disrupts,process,disrupts,process
http://www.w3.org/ns/prov#activity,process,ActivityInfluence,activity,Activity,process,http://www.ontologyrepository.com/CommonCoreOntologies/has_process_part,process,has process part,process
http://www.w3.org/ns/prov#activity,process,ActivityInfluence,activity,Activity,process,http://www.ontologyrepository.com/CommonCoreOntologies/is_disrupted_by,process,is disrupted by,process
http://www.w3.org/ns/prov#activity,process,ActivityInfluence,activity,Activity,process,http://www.ontologyrepository.com/CommonCoreOntologies/is_part_of_process,process,is part of process,process
http://www.w3.org/ns/prov#agent,process,AgentInfluence,agent,Agent,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/affects,process,affects,continuant
http://www.w3.org/ns/prov#agent,process,AgentInfluence,agent,Agent,material entity,http://www.ontologyrepository.com/CommonCoreOntologies/has_accessory,process,has accessory,material entity
http://www.w3.org/ns/prov#agent,process,AgentInfluence,agent,Agent,material entity,http://www.ontologyrepository.com/CommonCoreOntologies/has_accomplice,process,has accomplice,material entity
http://www.w3.org/ns/prov#agent,process,AgentInfluence,agent,Agent,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_input,process,has input,continuant
http://www.w3.org/ns/prov#agent,process,AgentInfluence,agent,Agent,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_output,process,has output,continuant
http://www.w3.org/ns/prov#entity,process,EntityInfluence,entity,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/affects,process,affects,continuant
http://www.w3.org/ns/prov#entity,process,EntityInfluence,entity,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_input,process,has input,continuant
http://www.w3.org/ns/prov#entity,process,EntityInfluence,entity,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_output,process,has output,continuant
http://www.w3.org/ns/prov#generated,process,Activity,generated,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/affects,process,affects,continuant
http://www.w3.org/ns/prov#generated,process,Activity,generated,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_input,process,has input,continuant
http://www.w3.org/ns/prov#generated,process,Activity,generated,Entity,continuant,http://www.ontologyrepository.com/CommonCoreOntologies/has_output,process,has output,continuant
