?targetProperty	?superDomainLabel	?domainLabel	?targetPropertyLabel	?rangeLabel	?superRangeLabel	?otherProperty	?otherDomainLabel	?otherPropertyLabel	?otherRangeLabel
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000110>	"continuant"@en	"has continuant part at all times"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000111>	"continuant"@en	"has proper continuant part at all times"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000137>	"continuant"@en	"proper continuant part of at all times"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000174>	"continuant"@en	"has proper continuant part at some time"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000175>	"continuant"@en	"proper continuant part of at some time"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000176>	"continuant"@en	"continuant part of at some time"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000177>	"continuant"@en	"continuant part of at all times"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"continuant"@en	<http://purl.obolibrary.org/obo/BFO_0000178>	"continuant"@en	"has continuant part at some time"@en	"continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"independent continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"independent continuant"@en	<http://purl.obolibrary.org/obo/RO_0001025>	"independent continuant"@en	"located in"@en	"independent continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"independent continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"independent continuant"@en	<http://www.ontologyrepository.com/CommonCoreOntologies/is_predecessor_of>	"independent continuant"@en	"is predecessor of"@en	"independent continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"independent continuant"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"independent continuant"@en	<http://www.ontologyrepository.com/CommonCoreOntologies/is_successor_of>	"independent continuant"@en	"is successor of"@en	"independent continuant"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"material entity"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"material entity"@en	<http://purl.obolibrary.org/obo/BFO_0000115>	"material entity"@en	"has member part at some time"@en	"material entity"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"material entity"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"material entity"@en	<http://purl.obolibrary.org/obo/BFO_0000129>	"material entity"@en	"member part of at some time"@en	"material entity"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"material entity"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"material entity"@en	<http://purl.obolibrary.org/obo/BFO_0000172>	"material entity"@en	"has member part at all times"@en	"material entity"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"material entity"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"material entity"@en	<http://purl.obolibrary.org/obo/BFO_0000173>	"material entity"@en	"member part of at all times"@en	"material entity"@en
<http://www.w3.org/ns/prov#actedOnBehalfOf>	"material entity"@en	"Agent"	"actedOnBehalfOf"	"Agent"	"independent continuant"@en	<http://purl.obolibrary.org/obo/RO_0001018>	"material entity"@en	"contained in"@en	"independent continuant"@en
<http://www.w3.org/ns/prov#activity>	"occurrent"@en	"ActivityInfluence"	"activity"	"Activity"	"occurrent"@en	<http://purl.obolibrary.org/obo/BFO_0000062>	"occurrent"@en	"preceded by"@en	"occurrent"@en
<http://www.w3.org/ns/prov#activity>	"occurrent"@en	"ActivityInfluence"	"activity"	"Activity"	"occurrent"@en	<http://purl.obolibrary.org/obo/BFO_0000063>	"occurrent"@en	"precedes"@en	"occurrent"@en
<http://www.w3.org/ns/prov#activity>	"occurrent"@en	"ActivityInfluence"	"activity"	"Activity"	"occurrent"@en	<http://purl.obolibrary.org/obo/BFO_0000117>	"occurrent"@en	"has occurrent part"@en	"occurrent"@en
<http://www.w3.org/ns/prov#activity>	"occurrent"@en	"ActivityInfluence"	"activity"	"Activity"	"occurrent"@en	<http://purl.obolibrary.org/obo/BFO_0000118>	"occurrent"@en	"has proper occurrent part"@en	"occurrent"@en
<http://www.w3.org/ns/prov#activity>	"occurrent"@en	"ActivityInfluence"	"activity"	"Activity"	"occurrent"@en	<http://purl.obolibrary.org/obo/BFO_0000121>	"occurrent"@en	"has temporal part"@en	"occurrent"@en
