subject_id,subject_label,predicate_id,object_id,object_label,mapping_justification
http://www.w3.org/ns/prov#InstantaneousEvent,InstantaneousEvent,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000035,process boundary,
http://www.w3.org/ns/prov#Role,Role,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000034,function,
http://www.w3.org/ns/prov#Plan,Plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000031,generically dependent continuant,
http://www.w3.org/ns/prov#AgentRole,,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000023,role,
http://www.w3.org/ns/prov#Location,Location,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000029,site,
http://www.w3.org/ns/prov#Activity,Activity,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000015,process,
http://www.w3.org/ns/prov#Agent,Agent,http://www.w3.org/2000/01/rdf-schema#subClassOf,http://purl.obolibrary.org/obo/BFO_0000040,material entity,
http://www.w3.org/ns/prov#hadGeneration,hadGeneration,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#used,used,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
http://www.w3.org/ns/prov#wasEndedBy,wasEndedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
http://www.w3.org/ns/prov#wasAssociatedWith,wasAssociatedWith,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
http://www.w3.org/ns/prov#wasDerivedFrom,wasDerivedFrom,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002559,causally influenced by,
http://www.w3.org/ns/prov#wasInvalidatedBy,wasInvalidatedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000056,participates in,
http://www.w3.org/ns/prov#generated,generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
http://www.w3.org/ns/prov#qualifiedAssociation,qualifiedAssociation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#wasGeneratedBy,wasGeneratedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000056,participates in,
http://www.w3.org/ns/prov#qualifiedCommunication,qualifiedCommunication,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#influenced,influenced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002410,causally related to,
http://www.w3.org/ns/prov#wasAttributedTo,wasAttributedTo,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002559,causally influenced by,
http://www.w3.org/ns/prov#wasInformedBy,wasInformedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#invalidated,invalidated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
http://www.w3.org/ns/prov#hadMember,hadMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002351,has member,
http://www.w3.org/ns/prov#alternateOf,alternateOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002559,causally influenced by,
http://www.w3.org/ns/prov#hadUsage,hadUsage,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#qualifiedStart,qualifiedStart,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0002501,causal relation between processes,
http://www.w3.org/ns/prov#wasStartedBy,wasStartedBy,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,http://purl.obolibrary.org/obo/RO_0000057,has participant,
