targetTermLabel,predicate,sourceTermLabel
Accept,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Activity,http://www.w3.org/2000/01/rdf-schema#subClassOf,occurrent
Agent,http://www.w3.org/2000/01/rdf-schema#subClassOf,material entity
Contribute,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Copyright,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Dictionary,http://www.w3.org/2000/01/rdf-schema#subClassOf,generically dependent continuant
,http://www.w3.org/2000/01/rdf-schema#subClassOf,occurrent
End,http://www.w3.org/2000/01/rdf-schema#subClassOf,process boundary
Entity,http://www.w3.org/2000/01/rdf-schema#subClassOf,continuant
Generation,http://www.w3.org/2000/01/rdf-schema#subClassOf,process boundary
Influence,http://www.w3.org/2000/01/rdf-schema#subClassOf,occurrent
InstantaneousEvent,http://www.w3.org/2000/01/rdf-schema#subClassOf,occurrent
Invalidation,http://www.w3.org/2000/01/rdf-schema#subClassOf,process boundary
Key-Entity Pair,http://www.w3.org/2000/01/rdf-schema#subClassOf,generically dependent continuant
Key-Entity Pair,http://www.w3.org/2000/01/rdf-schema#subClassOf,Information Content Entity
Location,http://www.w3.org/2000/01/rdf-schema#subClassOf,immaterial entity
Modify,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Organization,http://www.w3.org/2000/01/rdf-schema#subClassOf,Agent
Organization,http://www.w3.org/2000/01/rdf-schema#subClassOf,Organization
Person,http://www.w3.org/2000/01/rdf-schema#subClassOf,Agent
Person,http://www.w3.org/2000/01/rdf-schema#subClassOf,Person
Plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,generically dependent continuant
Plan,http://www.w3.org/2000/01/rdf-schema#subClassOf,Information Content Entity
Publish,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Replace,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
RightsAssignment,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Role,http://www.w3.org/2000/01/rdf-schema#subClassOf,role
SoftwareAgent,http://www.w3.org/2000/01/rdf-schema#subClassOf,Agent
Start,http://www.w3.org/2000/01/rdf-schema#subClassOf,process boundary
Submit,http://www.w3.org/2000/01/rdf-schema#subClassOf,process
Usage,http://www.w3.org/2000/01/rdf-schema#subClassOf,process boundary
actedOnBehalfOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
activity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
activity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causal relation between processes
agent,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
agent,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
agent,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has agent
agentOfInfluence,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,participates in
agentOfInfluence,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,agent in
alternateOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally influenced by
asInBundle,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,is subject of
contributed,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
derivedByInsertionFrom,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
derivedByInsertionFrom,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally influenced by
derivedByRemovalFrom,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
derivedByRemovalFrom,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally influenced by
dictionary,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
ended,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,participates in
ended,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,participates in
ended,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
entity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
generalizationOf,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally influenced by
generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
generated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has output
generatedAsDerivation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,occurrent part of
generatedAsDerivation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,temporal part of
hadActivity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadActivity,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causal relation between processes
hadDelegate,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadDerivation,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadDictionaryMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,
hadGeneration,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has occurrent part
hadGeneration,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has temporal part
hadGeneration,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadGeneration,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causal relation between processes
hadMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,
hadMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has member
hadMember,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadPrimarySource,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadPrimarySource,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally influenced by
hadRevision,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadUsage,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has occurrent part
hadUsage,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has temporal part
hadUsage,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
hadUsage,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causal relation between processes
has_anchor,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,is subject of
has_provenance,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,is subject of
influenced,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
influencer,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
informed,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,causally related to
invalidated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
invalidated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
invalidated,http://www.w3.org/2000/01/rdf-schema#subPropertyOf,has participant
